Titulos,Conteudo;
"Visita técnica não realizada,""Estou insatisfeito com a Tim, pago os boletos em débito automático em dia, sou comerciante,uso a internet 24 horas para o meu trab""";
"Sem Internet e sem previsão,""Contratei a internet da Tim em Junho e desde então venho tendo problemas. Nunca é entregue a velocidade contrata, a internet vive """;
"Minha Internet não funciona,""Todo sábado tenho ficado sem internet na minha residência. Sempre com respostas automáticas, Tim na providência o reparo rápido e """;
"Meses com a Internet pessima,""Solicitei reparo sábado, dia 21/10 e não fui atendida.Na segunda,23/10  abri novamente um chamado no WhatsApp, que só foi re""";
"Velocidade reduzida,""Estou a 3 dias sem conexão, já liguei na central de atendimento Tim, na ouvidoria. E nada resolveu. Liguei e tentei diversa maneir""";
"Péssimo atendimento e prestação de serviço,""Com recorrência estou enfrentando problemas com lentidão e queda de internet, fiz diversos contatos com a operadora e os atendente""";
Internet Não está funcionando,Estamos sem Internet ha 4 dias A primeira ligação feita disse que estava com problema na região. A segunda a mesma coi;
"Sem internet, caindo muito e quando peço para resolver, o resultado é pouco efetivo,""A Tim fibra é uma droga Desde fevereiro eu ligo pra arrumarem minha Internet, vem técnico arruma, qdo.ele vai embora cai a n""";
Tim internet não funciona,A meses tenho que ficar pedindo para corrigir a baixa na velocidade do serviço. Ultimamente está péssimo e ainda cobram por isso.;
"Péssimo serviço prestado,""Velocidade baixa, nao chega nem nos 50 megas dos 500 megas que eu contratei, me sinto enganando com essa empresa que não presta um""";
contratei 1 giga e não funciona,Estou a mais de 20 horas sem conexão. Infelizmente o suporte da TIM Ultrafibra é ineficiente e não oferece uma opção p;
"Falta de Internet,""Minha internet não está funcionando a uma semana, cai a todo momento, lentidão, já liguei diversas vezes e nada de mandar um técni""";
"Serviço técnico e assistência,""O técnico é muito bom, gentil e realmente tentou resolver o problema. No entanto, a empresa não entrega o que foi contratado. Quer""";
Não arruma a minha linha,Internet Tim não funciona no meu celular e nem na minha casa Como pode????Pago mais de 100 reais de celular e a intern;
Plano de 1gb,Venho por meio desta externar minha total insatisfação com o péssimo serviço oferecido pela operadora! Já tentei de tudo! Aumentei;
"Sem serviço de internet,""estou com problemas de velocidade desde a contratação do produto . e apesar de todas as reclamaçoes feitas, inclusive para a ouvid""";
tecnicos terceirizados da TIM ficam desligando a internet no poste,Somos clientes da Tim Live a anos e nos últimos meses estamos enfrentando certo desconforto em relação a conexão da internet. ;
"Serviço interrompido,""Prezados, boa noite! Não achei outra alternativa à não ser vir aqui reclamar, e espero que vocês possam me ajudar! Faz""";
Baixa velocidade e mal atendimento,Já faz tempo que tenho reclamado vem técnico e não resolve o problema já falei que tem que troca o fio que outras empresas cortarã;
"Ultra fibra não fornece a velocidade contratada,""Fiz a troca de plano de 500 para 1gb de velocidade, foi me informado que caso não chegasse a velocidade de 1gb, iriam trocar o mol""";
"Semanas com instabilidade, agora completamente sem internet,""Desde de terça feira que estou sem internet, trabalho com internet e estou tentando prejuízo.""";
"Prestação de Serviços de má qualidade,""Cobrança de um serviço que eu não pedi, disseram que tinham resolvido o problema ainda continua recebendo email de cobrança . Vou """;
A TIM NÃO QUER REALIZAR O REPARO DA INTERNET,Estou a 3 dias novamente sem internet que outro prestador de serviço deve ter subido no poste e desligado minha internet para liga;
Sem internet a cinco dias,Bom dia.Sou cliente da TIM desde 2018 neste endereço. Há 3 dias estou sem o serviço de Internet. Entrei em contato com;
"Acordo não cumprido,""Tenho uma TIM Ultra fibra de 500 GB, porem ultimamente esta oscilando muito e não passa de 40 GB, ja tentei por duas vezes ligar n""";
"Sem funcionar na primeira semana que foi instalada,""Ao verificar a velocidade de internet da ultrafibra da Tim, tenho notado que a velocidade contratada de 70 mbps não é a mesma ao m""";
"Pagamentos em dia mas sem serviço,""Chamado original no reclame aqui: 173898319Estou abrindo outro pois o anterior foi respondido e encerrado, não sendo c""";
"Insatisfação  com plano contratado .,""A Operadora TIM presta um péssimo serviço de banda larga, constantemente com queda de sinal e redução de velocidade, além do modem""";
"Internet não funciona como deveria,""HÁ POUCO MAIS DE UMA SEMANA, CHOVEU FORTE E TAMBÉM TEVE FORTES VENTOS QUE ROMPERAM O CABO DO MOLDEM DE MINHA RESIDÊNCIA, INTERROMP""";
"Mais de 48 horas sem INTERNET em casa.,""E sigo sem internet e nenhuma solução.Desde o dia 20-10 e hoje dia 25-10 me encontro sem ainda, fizeram reparo, a internet f""";
Bom dia solicito contestação da fatura sobre periodo sem sinal falta de respeito ao consumidor,Recebi a ligação oferecendo os serviços da Tim como eu iria economizar e manter a mesma velocidade e serviços como telefone fixo e;
"Não tem prazo para o reparo,""Dia 17/10/2023 a internet da TIM foi instalada. Nessa primeira semana de uso, a internet parou de funcionar duas vezes, e, no mome""";
"Lentidão da velocidade por dois dias,""Desde que a empresa sugeriu a troca de tecnologia, maior parte do tempo o serviço de internet fica indisponível.Apesar de te""";
"Sem internet, péssimo serviço e antedimento,""Bom vamos lá, me mudei recentimente para esse novo endereço , como já tenho plano no meu celular com a tim resolvi pedi para minha""";
"Quedas constantes da Internet 2.4G,""Há poucas semanas fizemos solicitação de um técnico pra fazer reparos na nossa Internet que, ou está lenta demais ou não existe, n""";
"Tim não resolve problemas de conexão da internet,""Desde segunda-feira 23 de outubro estou sem Internet em casa, após abrir chamado (protocolo n*******59) fui informado que minha re""";
Sem sinal de internet,Estou sem sinal sem internet a mais de 80 dias so chegando fatura nao chega tecnico para fazer reparo so reparo remoto e nao resol;
Sem internet a mais de 48h,Minha internet parou de funcionar entrei em contato com Tim para saber se tinha alguma instabilidade na minha área fui informada q;
Internet de Fibra Fajuta,Internet está extremamente lenta. Somente normaliza após o contato por whatsapp mas logo depois volta a ficar lenta (download cai ;
"A internet vive caindo, eles demoram para resolver o problema e dessa vez estou mais de 3 dias sem internet e eles não resolvem.,""Sofro com constantes quedas de internet da Tim Ultra fibra. No dia 25 agosto, fiz um chamado porque fiquei sem acesso internet ban""";
"Descumprimento de Obrigações - Sem Internet,""Tenho vários protocolos abertos referentes a quedas constantes da Internet, quando ligo, eles informam que está tudo normal porque""";
"Sem fornecimento do serviço de dados, desde 11/10/23,""Faz mais  de 5 dias que a internet não está funcionando , sempre tendo contato com suporte técnico pelo telefone 10341 , e uma gra""";
"SEM INTERNET,""Foi instalado minha internet no dia 27/09, no dia18/10 menos de uma mês de uso estou sem sinal , busquei atendimento no 10341 não """;
péssima qualidade do serviço,Estou sem internet a mais de 24 hs!!;
Falta de respeito do atendente e mensagens excessivas,Estou com a internet instável desde segunda-feira à noite (16/10/2023). Fico totalmente sem conexão a maior parte do tempo e quand;
Não cumprimento de prazo e pagando caro pela má entrega do produto/serviço,Talvez essa internet de fibra tenha dado os 300 somente no dia da contratação.O Comum é ter 30 e toda aquela propaganda de v;
"Inconstância no serviço de Internet há mais de dez dias, inclusive hoje.,""A rede vive dando problema. Você liga, eles mandam o técnico que não resolve. Aí você tem que ficar ligando e ligando. Agora, a in""";
"Instabilidade  no Tim Live,""Prezados responsáveis,Venho por meio desta carta formal expressar minha profunda insatisfação com os serviços prestado""";
"Estou a 5 dias sem internet e a TIM não faz nada a respeito,""Meu serviço de internet foi interrompido dia 11/10, aguardei até o dia 12/10 porém mediante a ausência do reparo fiz minha reclama""";
"Velocidade de conexão ultra baixa,""Já estou a mais de 24 horas sem internet, entro emo contato com a Tim, e sempre a mesma resposta, que estão com problemas tecnicos""";
"numero de portas pequeno para grande numero de usuários da internet, nessa rua.,""Eu tenho a banda larga da tim a mais de 1 ano porém nos últimos 5 meses eu passei sempre tendo quedas constantes, tanto é que eu l""";
"Serviço Ruim,""Já é a terceira vez neste mês que ficamos sem internet por mais de 12 horas. Ninguém faz nada , ninguém resolve nada ! Mas temos q""";
INTERRUPÇÃO DO SINAL,Uma atendente da tim me enviou mensagens oferecendo plano e pedi pra retirar meu nome da lista e entao começou as ofensas  com pal;
Todo dia sem internet,Entrei em contato com o atendimento da TIM Ultrafibra para falar sobre a internet que funciona em alguns pontos de utilização da c;
LOS piscando luz vermelha,Protocolo Tim*******83Há mais de dez dias estou tendo problemas no fornecimento de acesso à Internet por parte da TIM. Vária;
"Desde o dia 11/10/23 sem internet,""Tem uma semana que o serviço  da Tim Live está  instável.  Moro na área da Tijuca, no Rio de Janeiro,  e há  uma semana o serviço """;
"Sem comunicação,""Estou sem internet desde o dia 12/10, me encontro atualmente com dezenas de protocolo de atendimento e a TIM não não demonstrou ne""";
Interrupção total do sinal,Há várias semanas a velocidade de conexão está baixíssima.. nem na época que eu utilizava a conexão por cabo metálico era tão baix;
Desrespeito com o cliente,a minha internet é desligada toda vez que outro morador da rua reclama por estar sem internet. segundo os responsáveis pela manute;
"Sem Wi-Fi,""A Tim não resolve o problema com o serviço de internet, e não dá opção para cancelar a Ruim prestação de serviço. Estou a tempo te""";
"Internet sempre cai após reparo,""Moro na zona sul de São Paulo, e dese o dia 12/10 estou sem sinal de internet para trabalhar, tentei contatos sem sucesso com os p""";
"Sem Internet desde o dia 01/10/2023,""A qualidade da conexão da TIM está péssima todo dia cai, se abre chamado e no dia seguinte volta o problema, já abri diversos cham""";
"Lentidão na internet,""Dia 17/08/2023 fiquei sem Internet, dia 01/09/2023, novamente sem Internet. Dia 13/10/2023 sem internet até hoje Dia 15/10/2023. L""";
"Negligência e pouco caso,""Fiz a contratação da Ultrafibra e no dia 13/09 foi feita a instalação na minha casa. Exatamente 1 mês após, dia 13/10, fiquei sem """;
Reparo não realizado.,No dia 11/10 a internet caiu sem motivo aparente no dia seguinte pela amanhã abri uma Reclamação e o técnico foi encaminhado no me;
"Quedas constantes da internet e mal atendimento,""Cerca de dois meses tive problemas de comunicação. Fiquei mais de vinte dias sem internet. Depois de muito tempo, muita insistênci""";
"baixa velocidade,""Para resolver a instabilidade que durava meses, tivemos um atendimento técnico presencial, ontem a tarde 13/10, que resolveu apena""";
Internet instável, demora na restauração!,Liguei para Tim no dia 12/10/2023 reclamando da falta de sinal e a atendente me garantiu que o técnico compareceria no dia 13/10/2;
"Toda semana instabilidade na internet,""Estou sem internet desde terça-feira dia 10/10. É só ficam falando que vai vir algum técnico e não vem ninguém, o próprio técnico """;
"Interrupção direto,""Sem internet, e o atendimento da Tim está pessimo. Nao consigo resolver meu problema. Trabalho em Home e é mais um dia perdido. Ti""";
"Atendimentos recorrentes sem solucao com prazo elevado para reparo.,""Estou desde quarta feira sem Wi-Fi , realize contato duas vezes por telefone , por chat e por Whatsapp e a informação que recebo é""";
INFORMAÇÕES FORNECIDAS ERRONEAMENTE E QUEDA CONSTANTE DE INTERNET,Durante o ano todo eu chamo o técnico para reparo da internet da minha casa. Ele vemresolvemas logo depois a internet cai.;
"Quedas constantes de sinal da internet por dias,""Bom Dia!Contratei o plano de internet fixa da Tim no fim do mês de Março/2023, estavam ofertando de porta em porta. Foi inst""";
Serviço Interrompido e péssimo atendimento,Minha internet de 200 MB contratada não está sendo entregue conforme contrato.Nas últimas semanas a internet está chegando e;
"FALTA DE COMPROMISSO COM O CLIENTE E ENGANAÇÃO,""No dia 23/08 recebi um técnico da Tim em minha residência pois minha internet estava absurdamente lenta, com Ping de 700ms e uma t""";
"quedas constantes mesmo apos ""reparo"" técnico e falta de portas disponíveis,""Estou desde o dia 09/10/2023 Sem internet e, ainda, não consertaram. Entrei  contato ontem, dia 10/10/2023, e informaram que iriam""";
"Internet lenta, reparo agendado e não comparecimento do técnico.,""A dias a internet da minha casa está péssima, e o único canal para contato é um com mensagem automáticas, contato esse que nem tem""";
"AUMENTO DA VELOCIDADE DA INTERNET,""hoje percebi a velocidade meio devagar, fiz os teste e tem batido em torno de 250 - 270 mb, fiz o atendimento pelo whats onde fize""";
"ESTOU SENDO COBRADA APÓS CANCELAR,""No domingo 08/10/2023 ficamos 10 horas sem Internet, após várias ligações o reparo foi feito, porém a Internet estava fraca e osci""";
Minha conta veio zerada esse mês,Meu modelo de trabalho é Home Office e não posso contar com a internet da Live Tim que um dia foi boa mas tem alguns anos que deix;
"Mudança de Ponto,""Entro em contato via WhatsApp e um robô que responde, estou em trabalho em cada, reunião grave mundial, sem Internet, segunda vez """;
"COBRANÇA DE FATURA APOS O CANCELAMENTO,""Boa tarde,Meu nome é ******* e sou cliente TIM FIBRA.No ultimo sábado (07/10) minha conexão com a internet foi interro""";
Sem internet a mais d uma semana,Desde que eu contratei a TIM LIVE ULTRAFIBRA eu recomendei para todos da minha família e todos os meus amigos.A maiori;
Fiz cancelamento, fiz acordo e até hj estão me cobrando,Estou tendo um grande problema com a interrupção do meu sinal de internet por dois dias seguidos e o suposto motivo seria para rep;
"Continuo recebendo ligações e e-mails de cobrança de um plano que não tenho,""m 24/09 por volta das 10:30 da manha tive meu serviço de banda larga e fixo interrompidos, entrei em contato com a empresa que me """;
"Fibra não solicitada,""Há 4 dias, quase 5, me encontro sem internet em minha residência. Entrei em contato e me foi informado da necessidade de migração """;
"UMA SEMANA SEM INTERNET,""Tenho internet da Tim Fibra e estou a 3 dias sem internet (em específico dia 05/10/23, a partir de 16:40h). Desde então estou entr""";
"valor da fatura incorreto, e péssimo atendimento no chat,""venho enfrentando quedas de conexão constante a duas semanas e a tim nada faz. os técnicos vem fazem o """"reparo"""" porem o """;
Sem sinal banda larga Live tim,Temos a internet da tim para auxiliar pois somos uma empresa que trabalha com a internet integralmente e estamos enfrentando const;
"Débito indevido,""Olá, gostaria de verificar a possibilidade de aumentar a velocidade da minha internet por um preço mais acessível. Conseguem me aj""";
"FUI COBRADO 3 MESES APOS CANCELAR,""SOLICITEI O CANCELAMENTO DA MINHA TIM FIBRA APÓS MUDAR MEU ENDEREÇO E 4 TECNICOS QUE VIERAM AQUI, NÃO CONSEGUIREM INSTALAR. A muda""";
Instalação não realizada,Gostaria de saber o porque minha conta esse mês veio zerada ?;
"FUI ENGANADO PELOS TÉCNICOS DA TIM, PESSIMA EMPRESA PARA SE CONTRATAR,""Usamos a internet mais no quarto , porém o modem foi instalado na sala ao lado e o sinal acaba ficando ruim. Mediante a isso, liga""";
"Pedi uma mudança de endereço e até agora nada, já são 6 dias já sem internet e sem poder trabalhar,""Estou escrevendo esta carta para expressar minha INSATIFAÇÃO em relação à cobrança da TIM, mesmo após o cancelamento dos serviços.""";
"Cancelamento da Internet sem haver nenhum tipo de cobranças [Editado pelo Reclame Aqui],""Foi negociado um plano no dia 13/12/2022, dizendo que seria fixo o valor durante 12 meses e nao foi oque aconteceu. Gostaria do es""";
"Impossível troca de titularidade,""Boa tarde, sou cliente Tim a mais d 5 anos, plano celular, Tim live, porém d algum tempo à internet não funciona,faço a solicitaçã""";
"Problema no cabeamento,""A história vem se prolongando tem e meses cm a Tim, abaixo deixei a história toda, mais agora venho relatar q ontem na data de 26/""";
"Multa por cancelamento,""Eu já registrei uma reclamação no dia 29 de agosto deste ano, relatando todo o problema que tive com a TIM, conforme reforço abaix""";
"VoIP mudo após troca pra fibra,""Boa tarde! Descobri que possuo uma Fibra da Tim em um endereço de Curitiba, mas não moro lá e não nunca solicitei. Sou morador de """;
"Valor de fatura,""Por incompetência da Tim, estou há praticamente 7 dias sem internet. O serviço de assistência técnica é péssimo, sem retorno, sem """;
"Conta suspensa e dados roubados,""minha fatura veio mais cara com menos de 3 meses que contratei a internet, quando entrei em contato no chat a consultora DANIELE m""";
"Cancelamento da banda larga Tim,""Ontem dia 25/10/2023 minha confecção com a internet caiu, liguei para o atendimento 10341, foi feito todos os testes e a atendente""";
Tim Ultrafibra não respeita o consumidor e faz ele de otario,Não tenho internet da Tim em meu nome. Aqui em casa temos a internet da Tim que sempre foi no nome do meu marido..E continua sendo;
"Sem internet nem manutenção da Tim novamente,""Depois de alguns anos utilizando o serviço da Tim, resolvi cancelar e efetuei o cancelamento no dia 07/07/2023 e desde então não f""";
"Estou tendo dificuldade no cancelamento,""Contratei o serviço no dia 23/10, coloquei as 3 opções de disponibilidade de instalação e em nenhuma das 3 apareceu alguém para re""";
"Agendaram a instalação, mas não tem porta disponível,""Eu fiz um contrato de internet com TV com a TIM, e no dia da instalação o técnico não consegui fazer funcionar em nenhuma das 2 TV""";
"Sem internet desde o dia 17/10/2023,""Minha madrasta (VANESSA DA SILVA) tá tentando uma mudança de endereço pra mim desde o dia 20/10 e até hj,dia 25/10 ainda não estou""";
"Cobrança Errada,""Olá, solicito o cancelamento da Internet sem haver nenhum tipo de cobranças fidelidade, pois não moro mais no local a tempo e prec""";
"Tim qdo resolve um problema aparece outro!,""Hoje fui tentar realizar uma troca de titularidade, pois me mudei do apartamento que dividia com duas amigas. Gostaria de realizar""";
"Suspensão,""O técnico ficou de vir para finalizar o processo de cabeamento e não retornou,  tentei tratativa com a tim mas não obtive sucesso.""";
"Mudança de endereço,""Tive que cancelar a Tim live por mudança de endereço, pois por motivos particulares tive que me mudar. Entrei em contato com a Tim""";
"Reclamação,""Tim entrou em contato sugerindo mudança pra Tim live fibra. Aceitei, agendei serviço, porém após troca pra fibra meu VoIP ficou mu""";
"Mudança de endereço e atendimento,""Bom dia , novamente eu por aqui de novo fiz um reclamação esse dias e a mulher falou que  minha Internet ir vi com o.valor mas bai""";
"Sem internet a 3 dias e sem prazo para resolução,""Fui até uma loja oficial da Tim em Goiânia e solicitei a internet ultra fibra. Entreguei meus documentos ao atendente, assinei o c""";
"Cobrança Indevida [Editado pelo Reclame Aqui],""Hoje liguei para cancelar a minha banda larga, por motivo de péssimo atendimento da Tim, e fiquei das 08:16 até às 22:00 horas, fa""";
Cancelamento serviço,Continuo a minha peregrinação para realizar uma simples instalação ja tive mais uma remarcação tenho ja 8 protocolos mais 2 na ouv;
"Quanta dificuldade para executar um cancelamento,""Passei o dia novamente sem internet. Após contato telefônico, agendei visita técnica para o período da tarde do dia 23/10/23, pelo""";
Impossivel realizar o cancelamento da internet live tim Ultrafibra,Estou a 3mes tentando efetuar o cancelamento do serviço porque tive que mudar de endereço e a operadora Tim não tem disponibilidad;
"Bloqueio recorrente,""Eu solicitei a instalação da TIM Live Ultra Fibra para hoje, falaram que estava tudo certo e que atendiam a minha região, porém, o""";
"Me cobrando mesmo depois de ter mudado de plano.,""Estou sem internet desde o dia 17/10/2023, entrei em contato e o mesmo disse que estava com problemas tecncico na região e que no """;
Simplismente não querem instalar,Pelo terceiro mês consecutivo a Fatura está vindo com Valor errado do meu Plano contratado. Meu plano é de 114 e está vindo 125 de;
"Cobrança Errada de Plano,""Denovooo tô aqui reclamando desse péssimo serviço prestado para solucionar nosso problema, ligo na central desde 21/10 protocolo**""";
"CANCELAMENTO DA MINHA INTERNET,""Mudei de endereço e cancelei a tim live no mesmo mês, mas descobri agora que na verdade ela estava em modo de suspensão. Me veio u""";
ESTA COBRANDO UM VALOR NÃO COMBINADO,Liguei na central no dia 6/10/23 solicitei a mudança de endereço a atendente me falou que seria em até 5 dias corridos porém o rap;
"Utilização indevida de dados pessoais,""Fiz um contrato de compra ultrafibra no mês 7 no preço de 108 reais ,e no mês 10 já almentaram na minha fatura para 115 reais send""";
COMPRA COM PROBLEMA,Estava agendada uma instalação no meu endereço novo para data de hoje (21/10 - manhã) e até o momento não recebi nenhum técnico e ;
"24 horas sem internet,""Estou a três dias sem internet, e cada atendente me informa que o técnico virá em minha residência verificar, porém chega no dia a""";
Nenhum técnico vem buscar o modem,Bom dia 17 de julho de 2023 liguei na tim para pedir troca de endereço para o meu atual antigo.. Que me mudei dia 20 de julho. o t;
"Suspensão indevida,""Fiquei quase uma semana sem Internet, agora quero cancelar o serviço e não consigo.""";
"Péssimo atendimento. nada respeitoso com o cliente, sem internet desde o dia 11'10'2023 e sem reparo, nem solução, resposta desencontradas !,""Telefonei para o 0800 para pedir o CANCELAMENTO. Entendo que a atendente tenha que fazer """"algumas"""" perguntas. Porém é um""";
